,0,1,2,3
89,Created,-12.24232292175293,22.609556198120117,-17.05506706237793
90,Lead,-5.262877941131592,-17.212278366088867,35.937477111816406
91,design,-7.279540538787842,27.341753005981445,-12.371352195739746
92,2010,-0.76044100522995,-24.23490333557129,34.11884689331055
93,Project,-1.0461252927780151,-16.311609268188477,33.53660202026367
94,business,-17.972055435180664,32.41240692138672,-3.7363317012786865
95,Skills,-16.612756729125977,-17.190200805664062,0.7993701696395874
96,code,-1.8032678365707397,34.89891815185547,3.2041819095611572
97,Mar,2.7382731437683105,-23.906463623046875,35.593257904052734
98,users,-18.44222640991211,23.42167091369629,-26.07300567626953
99,skills,-2.1206045150756836,34.8837776184082,-5.576570510864258
100,College,-5.352639675140381,-28.338247299194336,23.644123077392578
101,Assistant,-2.388883352279663,-24.232019424438477,31.971952438354492
